,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,1.3119101340718425e-27,0.0,5.934808200436236e-14,0.003705717179975099,2.837307386398753e-16,26.98379218019879,9.869722580335732e-07,0.0020506929734169462,7.895200713831511e-05,0.047089024652455576,0.5990410197700935,-5833.277352027307,0.0,0.004870974007167499,4.559512866208685,3.0000417972223015,-8.789059327568193,0.39788935985519785,-3.8613083584488606,-9.577301488673562,-9.340273846725376,-1.0316284244130849,-3.275905336022461,1.007521007145098e-07,2.2580263156749525e-28,0.000430480240579617,-1.8012975235840951,-0.9999999999999999,0.002455858335013662,6.158713127731186e-22,0.0,2.5815152498235484e-30,-0.9936245327548492,-3.0,236.27755849218346,0.04311299744965595
std,3.514807374241492e-27,0.0,1.3408188059305258e-14,0.008723034682621537,1.570260667336972e-16,0.6312318232621873,1.1289457525650225e-06,0.0013068254213590045,0.0003782933835820263,0.028130391862488006,0.2192565717925874,687.3326238792945,0.0,0.008231747315253972,4.3111979186880065,4.730517926194939e-05,2.4801012575724504,2.71939510794046e-06,0.002592350342179157,2.2641565781751414,1.8582975474443821,3.353761571674277e-08,0.06681140555122583,2.3836119037244568e-07,2.763396397742134e-28,0.0005455994311975003,5.342485819543848e-06,1.570092458683775e-17,2.8414597225377795e-10,6.985568320893955e-22,0.0,6.707757046667254e-30,0.01912640173545231,1.9860273225978183e-16,184.45040803306574,0.02051860873888619
worst,2.4981508638925214e-26,0.0,9.281464485866309e-14,0.040414162993948954,6.456037527445396e-16,28.778528715864148,5.183581956989893e-06,0.005191393103241869,0.0026446372503158276,0.1281048601594372,1.035822610847549,-3521.4327160601283,0.0,0.020363356352579576,12.670505811135914,3.000274468475558,-2.630269284430918,0.3979029936182883,-3.8548977137934664,-2.7493271769473213,-5.055151365972161,-1.0316282684839475,-3.086113218024306,1.4931901282298296e-06,1.3375570739289515e-27,0.002156878907576374,-1.8012758419712491,-0.9999999999999999,0.00245585971247847,3.759520684486482e-21,0.0,4.754155377369548e-29,-0.9362453271715915,-2.9999999999999996,940.6867580884348,0.11034192619990926
best,1.330913476724492e-29,0.0,3.952393967665557e-14,0.0,3.602482573903309e-17,26.05210095589756,7.143925958242431e-08,0.0006010361520136021,1.984777198011045e-09,0.006642746876216096,0.09875239690973636,-7675.702098100265,0.0,0.00030749820205912997,0.9980038378049358,3.0000000723371816,-10.153090646693121,0.3978873581891236,-3.8627820281335143,-10.402803121918987,-10.153036981448711,-1.031628453019412,-3.321990575329419,2.386005027558305e-10,8.842792916216253e-30,3.8149458694693874e-17,-1.8013033604161761,-1.0,0.0024558581718352457,1.879468331626471e-23,0.0,1.461964940598643e-32,-1.0,-3.0,40.28830017980164,0.01100258287381183
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.07549647331237792,0.07178935050964355,0.08301664352416992,0.07979018211364747,0.07972785949707031,0.07511971473693847,0.07112746238708496,0.08551615715026856,0.07455632209777832,0.1071012258529663,0.1030742073059082,0.0747605037689209,0.07047677040100098,0.22015213012695312,0.255979061126709,0.04657681465148926,0.0681728458404541,0.03941293239593506,0.0646128749847412,0.07881642341613769,0.06807955741882324,0.041270170211791996,0.07039409637451172,0.08349703788757325,0.07860967636108399,0.07469878673553466,0.042405624389648434,0.07030852794647217,0.03939826011657715,0.07824814796447754,0.03800119400024414,0.08134311199188232,0.03846127033233643,0.07593969345092773,0.07139119148254394,0.09013890743255615
